dim 1,dim 2
-24.612534,69.92393
-5.6492305,65.5364
-17.189636,35.37237
-27.88758,64.640274
-11.275428,72.91556
-33.466812,7.3393
57.1467,70.67133
-88.32574,-13.767312
-0.43292475,-28.011192
-16.908072,58.972248
75.11573,14.185608
-13.7830305,-50.327477
103.39674,-10.683882
-14.997249,-12.815556
53.727505,40.49896
-35.6528,55.951263
-46.534527,-57.021408
-14.35304,37.668945
-10.800952,-101.6358
17.015434,-74.14094
-73.723366,-0.5326023
-77.13257,-16.791725
-56.237976,-10.328353
-65.11674,41.5425
-1.4749812,-39.76099
50.80577,14.456564
-80.72203,31.574007
-52.42855,31.22113
73.05744,49.020332
-43.006916,-40.12774
-78.03769,25.46193
41.04706,-64.3622
-6.971814,-88.851944
-9.626599,34.43959
-0.040724523,-96.171364
-0.14997263,76.62772
-52.74428,-63.225838
-4.159011,2.985954
-52.263004,0.74821085
-20.383535,-92.07978
-47.320095,-2.275274
32.13044,-66.565475
76.24685,-37.991432
-36.26613,44.73912
-10.303604,-17.742756
11.3625,32.301445
-5.36781,74.19163
-43.528835,30.487814
33.311653,32.218956
-53.137638,-37.890335
32.259125,-64.82222
-59.12465,29.288527
-56.27711,-53.170074
46.418564,-7.467873
77.30972,-30.980782
-1.7754549,-25.27716
-31.140747,67.53304
-72.80292,1.0942694
-19.638386,26.098787
-58.771126,-1.2746136
50.82431,-1.4023775
36.712063,37.84475
-43.65138,-10.948165
29.519949,86.3753
32.676697,7.1982126
-48.544056,-39.448265
19.357874,77.61421
-9.280397,-61.133774
72.77613,5.3173943
11.775583,25.92761
28.42801,58.713226
60.774986,-59.966984
-9.453063,25.510206
6.304903,-36.641712
-46.731773,47.674313
34.07739,33.806427
-46.57286,-59.39281
22.041834,-56.686478
-24.181208,5.6258945
6.48913,13.797828
-38.964005,3.037639
-58.395813,-36.33684
-33.398582,47.434387
69.24597,-39.479847
0.1998273,-96.02375
-53.324104,-41.4744
-91.67939,-6.862443
11.0766735,11.756301
17.072166,-13.283046
-75.60543,-0.16500255
-41.615276,-65.84327
-9.52895,-64.35211
15.187274,-46.752636
-49.50495,-53.711567
-26.66707,14.237774
-12.564483,-1.5091058
19.786121,-15.5939455
-5.9334974,67.58831
-25.67906,21.246756
-36.575542,88.67843
-9.828976,-1.3268526
-70.68845,34.529713
0.9252273,14.974731
33.57587,43.543583
-24.764986,45.39666
-29.310766,66.22734
-34.022266,44.528427
36.939365,-27.060684
-9.261322,-89.55179
-28.060818,49.54341
11.879535,26.457249
6.2655506,-69.54836
-49.18443,31.35567
-14.706062,-33.975716
-40.006447,10.795368
-5.1510186,4.2573385
1.4221585,40.343834
99.11261,-7.23386
20.86221,-33.94479
18.857859,-13.890411
-12.027957,-91.273026
-45.08204,-54.654984
-38.00826,5.6604357
-17.021765,-17.01177
4.49414,17.82705
71.08347,51.751408
58.062065,11.72494
70.66416,18.519058
-3.482799,67.67014
66.7571,57.18093
-50.765594,61.116055
21.421526,-78.748695
-27.82999,83.81125
62.351322,55.687412
-63.108345,26.292656
-25.326168,44.04836
-76.37668,-9.618463
-12.039194,-18.124697
29.624384,-30.142141
-58.812916,8.403695
-3.2452106,59.770744
-18.782614,5.195882
5.998154,-1.9064885
31.623064,6.4837565
100.46242,-8.030234
73.834854,-33.990738
34.96157,8.130151
-21.85689,-14.883465
-43.91288,-10.596645
-17.544203,25.411095
-32.938175,22.188324
-3.1121273,24.648773
38.842033,-42.743465
-76.623795,44.035294
-14.348873,-20.640718
-37.291603,-44.3156
1.8266091,-35.708195
-29.399515,46.86474
-6.3082976,3.66581
-1.9086254,38.84123
49.794804,64.350235
-18.906683,-15.687888
-84.96324,5.9649305
42.909046,-26.960564
-61.7265,-50.86472
14.383202,-43.837814
20.606947,74.01684
-71.924644,1.6224779
32.074455,-59.208862
-40.331573,-64.93142
50.306873,52.997402
-43.869358,7.630516
-8.907629,-6.960955
53.854527,58.324703
29.869421,-31.05354
-11.067312,-2.9864635
32.843975,5.285105
34.839256,46.16387
-36.744415,81.09118
6.2864,27.481106
54.072693,15.185326
56.586613,-58.927574
-47.08625,47.775978
18.43859,-43.139954
5.5357275,-83.58678
25.995895,43.20681
